INDEX,,,3. OUTBOUND TOURISM: Tourism expenditure in other countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
84,3.6,84-3.6,,,Passenger transport,,,US$ Millions,,IMF,12,12,12,12,3,4,3,4,4,4,3,2,3,3,2,3,3,2,2,2,3,2,2,2,2,1,1,2,
204,0,204-0,BENIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,3.4,204-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,48,51,34,32,63,50,48,49,53,59,58,71,107,102,88,91,81,96,40,54,141,87,148,76,130,79,97,..,
204,3.5,204-3.5,,,Travel,,,US$ Millions,,IMF,35,29,16,20,26,12,17,20,21,29,27,34,72,64,53,57,53,43,39,54,62,64,50,31,94,77,77,..,
204,3.6,204-3.6,,,Passenger transport,,,US$ Millions,,IMF,13,22,18,12,37,38,31,29,32,30,31,37,35,38,35,34,28,53,0.5,0.2,79,23,98,45,36,2,20,..,
60,0,60-0,BERMUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3.4,60-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,394,453,459,407,417,326,327,322,378,363,373,369,334,342,212,233,..,1/ 2002-2005: country data.
60,3.5,60-3.5,,,Travel,,,US$ Millions,1/,IMF,..,..,..,..,..,..,..,243,248,217,239,268,288,307,295,301,216,221,222,264,244,249,255,254,264,191,202,..,
60,3.6,60-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,126,165,152,112,116,110,106,100,114,119,124,114,80,78,21,32,..,
64,0,64-0,BHUTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.4,64-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,65,34,43,58,69,67,43,44,52,63,79,67,50,18,39,
64,3.5,64-3.5,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,22,26,64,33,41,56,67,64,42,40,51,61,78,67,50,18,39,
64,3.6,64-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,2,2,2,3,1,4,1,2,1,..,..,..,..,
68,0,68-0,"BOLIVIA, PLURINATIONAL STATE OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.4,68-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,72,87,96,98,117,116,114,114,197,232,257,360,385,381,388,421,410,502,660,953,849,960,997,"1,009","1,072",327,394,777,
68,3.5,68-3.5,,,Travel,,,US$ Millions,,IMF,48,54,57,60,75,77,83,80,138,164,186,273,304,281,290,313,298,361,521,808,711,818,829,866,937,276,342,664,
68,3.6,68-3.6,,,Passenger transport,,,US$ Millions,,IMF,24,33,39,38,42,39,31,34,59,68,71,87,81,100,98,108,112,141,139,145,138,142,168,143,136,51,52,113,
534,0,534-0,BONAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,3.4,534-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ Source: Central Bank of the Netherlands Antilles.
534,3.5,534-3.5,,,Travel,,,US$ Millions,1/,CB,..,..,..,10,8,3,2,2,3,6,5,5,6,7,7,..,..,..,..,..,..,..,..,..,..,..,..,..,
534,3.6,534-3.6,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
70,0,70-0,BOSNIA AND HERZEGOVINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.4,70-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,97,101,92,96,112,145,162,158,210,264,345,285,247,214,196,198,205,278,290,346,378,393,189,304,436,
70,3.5,70-3.5,,,Travel,,,US$ Millions,,IMF,..,..,..,81,83,73,74,85,106,117,122,170,203,281,231,194,160,139,133,127,206,225,249,273,285,138,208,282,
70,3.6,70-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,16,18,19,22,27,39,45,36,40,61,64,54,53,54,57,65,78,72,65,97,105,108,51,96,154,
72,0,72-0,BOTSWANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.4,72-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,153,92,104,138,155,209,215,197,235,280,283,280,282,230,232,299,316,297,262,277,256,237,253,278,295,90,78,104,
72,3.5,72-3.5,,,Travel,,,US$ Millions,,IMF,145,78,92,126,147,198,204,184,230,276,282,277,281,229,232,298,316,296,262,276,256,237,253,278,291,88,77,98,
72,3.6,72-3.6,,,Passenger transport,,,US$ Millions,,IMF,8,14,12,12,8,11,11,13,5,4,1,3,1.3,0.7,0.4,0.5,0.5,0.9,0.2,1.0,0.4,0.1,0.3,0.3,3.7,2.0,1.0,6,
76,0,76-0,BRAZIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.4,76-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,"3,982","4,988","6,208","6,019","3,551","4,548","3,765","2,929","2,874","3,752","5,905","7,501","10,434","13,269","12,897","18,883","24,608","26,008","29,286","29,998","20,356","17,068","22,992","22,229","21,178","6,490","6,252","15,426",
76,3.5,76-3.5,,,Travel,,,US$ Millions,,IMF,"3,391","4,387","5,419","5,385","3,085","3,894","3,199","2,396","2,261","2,871","4,720","5,764","8,211","10,962","10,898","15,965","20,802","22,039","25,028","25,567","17,357","14,497","19,002","18,266","17,593","5,394","5,250","12,185",
76,3.6,76-3.6,,,Passenger transport,,,US$ Millions,,IMF,591,601,789,634,466,654,566,533,613,881,"1,185","1,737","2,223","2,307","1,999","2,918","3,806","3,969","4,258","4,431","2,999","2,571","3,990","3,963","3,585","1,096","1,002","3,241",
92,0,92-0,BRITISH VIRGIN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,3.4,92-3.4,,Tourism expenditure in other countries,,,,US$ Millions,1/,country,40,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
92,3.5,92-3.5,,,Travel,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
92,3.6,92-3.6,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
96,0,96-0,BRUNEI DARUSSALAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,3.4,96-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,129,
96,3.5,96-3.5,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,456,398,469,382,374,408,430,459,477,..,..,591,624,616,459,499,504,585,613,97,13,120,
96,3.6,96-3.6,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,9,
100,0,100-0,BULGARIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,3.4,100-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,312,314,355,654,747,764,836,"1,018","1,467","1,935","1,858","2,099","2,142","2,602","1,955",975,"1,063","1,096","1,342","1,459","1,346","1,636","2,047","2,247","2,196","1,263","1,516","1,833",
100,3.5,100-3.5,,,Travel,,,US$ Millions,,IMF,195,199,222,519,526,538,589,717,"1,033","1,363","1,309","1,478","1,880","2,311","1,755",826,904,923,"1,113","1,202","1,116","1,361","1,695","1,868","1,825","1,048","1,287","1,543",
100,3.6,100-3.6,,,Passenger transport,,,US$ Millions,,IMF,117,115,133,135,221,226,247,301,434,572,549,621,262,291,200,149,159,173,229,257,230,275,352,379,371,215,229,291,
854,0,854-0,BURKINA FASO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,3.4,854-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,30,35,36,50,67,74,84,93,110,111,110,129,146,215,176,160,176,182,191,185,135,152,..,
854,3.5,854-3.5,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,20,22,22,31,39,46,55,58,63,64,69,72,77,144,132,103,115,116,119,115,73,80,..,
854,3.6,854-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,10,13,14,19,28,28,29,35,47,47,41,57,69,71,44,57,61,66,72,71,62,72,..,
108,0,108-0,BURUNDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,3.4,108-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,29,62,126,106,151,71,35,49,..,..,..,..,..,..,..,..,..,..,..,
108,3.5,108-3.5,,,Travel,,,US$ Millions,,IMF,25,12,4,3,2,14,12,14,15,23,60,125,104,144,62,20,31,25,34,38,29,28,24,23,..,..,..,..,
108,3.6,108-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,6,2,1,2,7,9,15,18,..,..,..,..,..,..,..,..,..,..,..,
132,0,132-0,CABO VERDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,3.4,132-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,20,24,25,32,47,41,55,63,89,93,82,106,123,143,145,138,142,135,127,115,109,79,100,107,105,63,72,73,
132,3.5,132-3.5,,,Travel,,,US$ Millions,,IMF,16,18,17,24,41,36,47,56,73,78,67,82,107,133,136,129,132,127,120,110,101,71,78,85,85,52,56,60,
