INDEX,,,3. OUTBOUND TOURISM: Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
60,3.2,60-3.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,140,145,141,156,161,170,181,192,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
60,3.3,60-3.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
64,0,64-0,BHUTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.1,64-3.1,,,Total departures,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72,..,..,..,
64,3.2,64-3.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41,..,..,..,
64,3.3,64-3.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31,..,..,..,
68,0,68-0,"BOLIVIA, PLURINATIONAL STATE OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.1,68-3.1,,,Total departures,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
68,3.2,68-3.2,,,,Overnights visitors (tourists),,Thousands,,249,269,285,299,253,201,222,217,304,346,386,472,526,544,518,604,775,788,837,932,965,940,997,"1,060","1,160",432,376,821,
68,3.3,68-3.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
534,0,534-0,BONAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,3.1,534-3.1,,,Total departures,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
534,3.2,534-3.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
