INDEX,,,2. DOMESTIC TOURISM: Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
56,2.20,56-2.20,,,,Overnights,,Thousands,1/,"14,133","14,288","13,760","13,185","13,111","13,689","13,321","13,177","13,089","12,950","12,827","13,332","13,578","13,611","13,803","14,128","14,656","14,835","14,936","15,537","19,528","19,792","20,020","20,756","21,308","13,631","21,370","23,646",
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.21,56-2.21,,,,Guests,,Thousands,2/,"1,114","1,543","1,647","1,740","1,862","2,048","2,093","2,103","2,119","2,208","2,364","2,596","2,877","3,081","3,218","3,601","3,883","3,806","3,947","4,175","4,304","4,326","4,492","4,801","4,954","2,538","3,996","5,077",
56,2.22,56-2.22,,,,Overnights,,Thousands,2/,"3,054","3,140","3,366","3,498","3,652","4,045","4,057","4,091","4,061","4,090","4,313","4,737","5,220","5,422","5,606","6,169","6,529","6,328","6,525","6,926","7,048","6,968","7,313","7,858","8,126","4,243","6,559","8,421",
84,0,84-0,BELIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2.19,84-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
84,2.20,84-2.20,,,,Overnights,,Thousands,,65,55,58,53,57,61,56,80,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2.21,84-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
84,2.22,84-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
204,0,204-0,BENIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,2.19,204-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
204,2.20,204-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,138,150,158,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,2.21,204-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
204,2.22,204-2.22,,,,Overnights,,Thousands,,..,..,..,..,33,23,20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
60,0,60-0,BERMUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
