INDEX,,,1. INBOUND TOURISM: Tourism expenditure in the country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
534,1.35,534-1.35,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
70,0,70-0,BOSNIA AND HERZEGOVINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1.33,70-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,..,..,257,258,246,279,307,404,507,557,658,804,913,753,662,722,686,752,755,794,875,984,"1,147","1,225",443,"1,003","1,464",
70,1.34,70-1.34,,,Travel,,,US$ Millions,,IMF,..,..,..,247,245,233,265,288,377,481,519,607,724,825,674,589,635,615,685,707,752,830,930,"1,096","1,173",431,967,"1,414",
70,1.35,70-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,10,13,13,14,19,27,26,38,51,80,88,79,73,87,71,67,48,42,45,54,51,52,12,36,50,
72,0,72-0,BOTSWANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1.33,72-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,176,105,141,179,239,227,235,324,459,582,563,540,548,511,664,440,468,461,484,529,534,505,542,584,712,117,275,374,
72,1.34,72-1.34,,,Travel,,,US$ Millions,,IMF,162,93,136,175,234,222,230,319,457,581,562,538,546,510,663,438,465,459,481,528,533,503,542,582,705,115,274,370,
72,1.35,72-1.35,,,Passenger transport,,,US$ Millions,,IMF,14,12,5,4,5,5,5,5,2,1,1,2,2,1,1,2,3,2,3,1,1,2,0,2,7,2,1,4,
76,0,76-0,BRAZIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1.33,76-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,"1,085",744,"1,025","1,398","1,718","1,969","1,844","2,142","2,673","3,389","4,168","4,577","5,284","6,109","5,635","5,522","6,370","6,623","6,784","7,405","6,254","6,613","6,175","6,324","6,127","3,099","3,005","4,968",
76,1.34,76-1.34,,,Travel,,,US$ Millions,,IMF,972,718,977,"1,317","1,626","1,810","1,731","1,998","2,479","3,222","3,861","4,316","4,953","5,785","5,305","5,261","6,095","6,378","6,474","6,843","5,844","6,024","5,809","5,921","5,995","3,044","2,947","4,952",
76,1.35,76-1.35,,,Passenger transport,,,US$ Millions,,IMF,113,26,48,81,92,159,113,144,194,167,307,261,331,324,330,261,275,245,310,562,410,589,366,403,132,55,58,16,
92,0,92-0,BRITISH VIRGIN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1.33,92-1.33,,Tourism expenditure in the country,,,,US$ Millions,1/,country,211,227,220,255,339,345,401,345,342,393,412,438,451,446,374,389,388,398,421,459,484,..,..,..,..,..,..,..,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
92,1.34,92-1.34,,,Travel,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
92,1.35,92-1.35,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
96,0,96-0,BRUNEI DARUSSALAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1.33,96-1.33,,Tourism expenditure in the country,,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30,118,
96,1.34,96-1.34,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,155,113,124,181,191,224,233,242,254,..,..,92,96,79,147,144,177,190,217,38,2,14,
96,1.35,96-1.35,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28,105,
100,0,100-0,BULGARIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1.33,100-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,662,541,517,"1,150","1,184","1,364","1,262","1,392","2,051","2,796","3,063","3,317","4,181","4,852","4,273","3,807","4,297","3,975","4,410","4,518","3,568","4,148","4,663","5,061","4,832","1,861","2,734","3,701",
100,1.34,100-1.34,,,Travel,,,US$ Millions,,IMF,473,388,369,966,932,"1,074",994,"1,096","1,621","2,202","2,412","2,612","3,713","4,306","3,776","3,343","3,764","3,462","3,829","3,927","3,139","3,637","4,099","4,468","4,287","1,706","2,478","3,366",
100,1.35,100-1.35,,,Passenger transport,,,US$ Millions,,IMF,189,153,148,184,252,290,268,296,430,594,651,705,468,546,497,464,533,513,581,591,429,511,564,593,545,156,256,335,
854,0,854-0,BURKINA FASO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,1.33,854-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,..,..,..,..,23,25,37,38,52,46,55,61,82,99,105,116,128,200,183,152,172,172,179,173,128,145,..,
854,1.34,854-1.34,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,19,20,25,24,40,45,53,56,62,66,72,75,84,153,135,109,122,117,121,116,75,82,..,
854,1.35,854-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,4,5,12,14,12,1,2,5,20,33,33,41,44,47,48,43,50,55,58,57,53,63,..,
108,0,108-0,BURUNDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1.33,108-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,2.4,2.1,1.4,1.3,1.2,1.4,0.9,1.6,1.2,1.8,1.9,1.6,2.3,1.6,1.7,2.1,3.7,..,..,..,..,..,..,..,..,..,..,..,
